year,lon,lat,edge_density,building_coverage,texture_entropy,ssim,resnet_cosine_dist,building_count,building_area_mean,amenity_count,shop_count,leisure_count,poi_diversity,road_length_total,d_edge_density,d_building_coverage,d_texture_entropy,d_building_count,d_building_area_mean,d_amenity_count,d_shop_count,d_leisure_count,d_poi_diversity,d_road_length_total
2018,120.615,24.085,0.0,0.0,0.0,,,0,0.0,0,0,0,0.0,0.0,,,,,,,,,,
2019,120.615,24.085,0.0676573946886446,0.1261492673992674,2.662963111088861,0.0064945459834974,0.7324814796447754,0,0.0,0,0,0,0.0,0.0,0.0676573946886446,0.1261492673992674,2.662963111088861,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,120.615,24.085,0.0706719322344322,0.1588707646520146,2.747638578495282,0.8064954904492783,0.0539159178733825,0,0.0,0,0,0,0.0,0.0,0.0030145375457876072,0.0327214972527472,0.08467546740642096,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,120.615,24.085,0.0955574633699633,0.1616975732600732,2.915552428620268,0.8824815281392299,0.056150197982788,0,0.0,0,0,0,0.0,0.0,0.024885531135531103,0.0028268086080585897,0.16791385012498594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,120.615,24.085,0.0,0.0,0.0,0.0058282905907089,0.7579769492149353,0,0.0,0,0,0,0.0,0.0,-0.0955574633699633,-0.1616975732600732,-2.915552428620268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,120.615,24.085,0.1053445512820512,0.1557589285714285,2.963968068219547,0.0138499644384891,0.7928947806358337,0,0.0,0,0,0,0.0,0.0,0.1053445512820512,0.1557589285714285,2.963968068219547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,120.615,24.085,0.0958871336996337,0.1378811813186813,2.8948968510551225,0.5722430162441214,0.2478682994842529,0,0.0,0,0,0,0.0,0.0,-0.009457417582417499,-0.01787774725274721,-0.06907121716442433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,120.615,24.085,0.1049605082417582,0.1380431547619047,2.9121477310957427,0.7240416377207678,0.0661945939064025,0,0.0,0,0,0,0.0,0.0,0.009073374542124507,0.00016197344322341212,0.017250880040620142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,120.615,24.095,0.0,0.0,0.0,,,2,3433.8623857634457,0,0,0,0.0,0.0,,,,,,,,,,
2019,120.615,24.095,0.067764423076923,0.1496628891941392,2.7167157421905035,0.0057517417989378,0.7639636993408203,2,3433.8623857634457,0,0,0,0.0,0.0,0.067764423076923,0.1496628891941392,2.7167157421905035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,120.615,24.095,0.0710365155677655,0.1849599358974359,2.7956027812763558,0.8056366371686359,0.0599372386932373,3,3931.535228822156,0,0,0,0.0,0.0,0.003272092490842496,0.0352970467032967,0.07888703908585226,1.0,497.67284305871044,0.0,0.0,0.0,0.0,0.0
